"Diagnostic_group","Fleet","Observations","First_year","Last_year","Observed_fitted_correlation","Root_mean_squared_log_error","Composition_years","Youngest_age","Oldest_age","Mean_absolute_difference","Root_mean_squared_difference","Root_mean_squared_difference_excluding_sample_size_1","Maximum_absolute_difference"
"Index fit","Historical CPUE",12,1965,1976,0.890207765931558,0.102010607582441,NA,NA,NA,NA,NA,NA,NA
"Index fit","BTS biomass index",42,1982,2024,0.899444237720311,0.150908986712765,NA,NA,NA,NA,NA,NA,NA
"Index fit","ATS biomass index",19,1994,2024,0.88386539806801,0.175084323887284,NA,NA,NA,NA,NA,NA,NA
"Index fit","ATS age-1 index",18,1994,2022,0.596947483365652,1.10504537931642,NA,NA,NA,NA,NA,NA,NA
"Index fit","AVO index",18,2006,2024,0.807231073984215,0.228190268775005,NA,NA,NA,NA,NA,NA,NA
"Age-composition fit","ATS",NA,1994,2024,NA,NA,19,2,15,0.0180862093424115,0.051131563557357,0.0285640753261248,0.584707866865175
"Age-composition fit","BTS",NA,1982,2024,NA,NA,42,1,15,0.0135008843884893,0.0239836612221219,0.0239836612221219,0.145471072687303
"Age-composition fit","Fishery",NA,1964,2023,NA,NA,60,1,15,0.0110249968639671,0.0239439054682181,0.0239439054682181,0.207401720053824
