"Step","Experiment","Scenario","Convergence_status","Maximum_gradient","Positive_definite_Hessian","Objective","R2012","R2013","R2014","SSB2015","SSB2018","SSB2020","R2012_percent_vs_all_2021","R2013_percent_vs_all_2021","R2014_percent_vs_all_2021","SSB2015_percent_vs_all_2021","SSB2018_percent_vs_all_2021","SSB2020_percent_vs_all_2021"
1,"Cumulative addition","2020 observation availability","OK",4.14687109523415e-05,TRUE,612.785415711012,15825.4170613521,63815.1189566043,64401.25357474,3470.00486909657,4426.13318331024,3318.52651107645,24.8439852548048,38.678861167282,31.9538428442361,24.5019029895048,40.325164782739,46.1496246627977
2,"Cumulative addition","Add 2020 fishery composition","OK",4.05061547227303e-05,TRUE,645.222071403426,14081.4790797084,51821.6173410194,55117.6529167773,3079.07674394951,3703.1795108991,2919.530540971,11.0863593532845,12.615364418364,12.9323686608524,10.4756127250764,17.4047986279394,28.5776356856882
3,"Cumulative addition","Add 2021 BTS biomass index","OK",4.6431133001068e-05,TRUE,647.259998816371,13581.9966690751,49505.1144149605,51725.1499119371,2984.77356397852,3449.52606991264,2583.59951675213,7.14602877833737,7.58129109954779,5.9813578729994,7.09206549466379,9.36302504589963,13.7830595573053
4,"Cumulative addition","Add 2021 BTS age composition","OK",5.02387996842435e-05,TRUE,655.701996038016,12677.8392135853,46024.1304264162,48814.5774525462,2787.47758339119,3154.87264800881,2269.74632465287,0.0132865824388873,0.016643361428903,0.0177904022589326,0.0131921322473971,0.0213969768748434,-0.0391974207315959
5,"Cumulative addition","Add 2021 AVO index","OK",4.82665400144133e-05,TRUE,655.986640596311,12676.154985803,46016.4717387079,48805.8946875552,2787.10990416675,3154.19774504671,2270.63635553844,0,0,0,0,0,0
6,"Cumulative addition","Add 2021 BTS age-1 index","OK",4.82665400144133e-05,TRUE,655.986640596311,12676.154985803,46016.4717387079,48805.8946875552,2787.10990416675,3154.19774504671,2270.63635553844,0,0,0,0,0,0
