"Model","Fleet","Year","Observation","Lower95","Upper95","Predicted"
"Model","ATS biomass index",1996,2944.77187,2203.7969540797,3934.88218154135,3512.42610873742
"Model","ATS biomass index",1997,3590.84054,2757.5595906091,4675.92280784016,3768.80494840337
"Model","ATS biomass index",1999,4141.37057,2785.80080956836,6156.56013134677,3389.43128644165
"Model","ATS biomass index",2000,3625.86364,2820.56313428422,4661.08592857659,3493.86811514532
"Model","ATS biomass index",2002,4305.86229,3377.31113599455,5489.70743703311,3655.75605827695
"Model","ATS biomass index",2004,4009.93704,3025.77301924284,5314.21060420048,3669.36674024415
"Model","ATS biomass index",2006,1872.86327,1380.50577672056,2540.82010178005,2367.44275661675
"Model","ATS biomass index",2007,2277.944,1619.30023329889,3204.48843298487,1975.95780269451
"Model","ATS biomass index",2008,1405.59025,850.83687948355,2322.04785492406,1702.73424252499
"Model","ATS biomass index",2009,1324.78137,717.143263588527,2447.27346320869,1892.73422964876
"Model","ATS biomass index",2010,2642.6749,1629.99900411183,4284.49993495264,2656.2425523114
"Model","ATS biomass index",2012,2295.95185,1683.88101183019,3130.50320092927,2805.56832966129
"Model","ATS biomass index",2014,4729.82772,3456.19883348933,6472.79607993347,3712.4389130908
"Model","ATS biomass index",2016,4828.79348,4069.8724836584,5729.23268876735,4471.04812054022
"Model","ATS biomass index",2018,2499.40106,1746.7118754624,3576.43738872238,3408.95454022376
"Model","ATS biomass index",2020,3617,1560.55664420055,8383.34772955453,3407.68766226608
"Model","ATS biomass index",2022,3834.04251,2077.93631110885,7074.26974055946,4208.36068517134
"Model","ATS biomass index",2024,2870.636995,1729.68587065464,4764.19267617872,3289.53661352305
"Model","ATS age-1 index",1994,1140.08514,160.596376384155,8093.54579296136,640.409841395017
"Model","ATS age-1 index",1996,1800.254055,253.590076442783,12780.1320461969,913.631643802819
"Model","ATS age-1 index",1997,13226.7894,1863.17177051913,93897.9221347943,1223.46303828381
"Model","ATS age-1 index",1999,607.203652,85.5328280468821,4310.58207031396,652.702638450951
"Model","ATS age-1 index",2000,460.3664031,64.8488201037926,3268.17395850871,998.720326546703
"Model","ATS age-1 index",2002,796.3968503,112.183243018091,5653.67809045669,932.181517995031
"Model","ATS age-1 index",2004,83.05449742,11.6993467067373,589.609805966037,265.708648419241
"Model","ATS age-1 index",2006,524.7109597,73.9126191723475,3724.96055899883,469.046276098222
"Model","ATS age-1 index",2007,5775.294145,813.5281126808,40999.2254002882,1013.14801168221
"Model","ATS age-1 index",2008,70.86987403,9.98297808181197,503.110294730452,549.972197307868
"Model","ATS age-1 index",2009,5196.786272,732.037472329585,36892.3567135214,2010.56229176406
"Model","ATS age-1 index",2010,2567.932041,361.727879889187,18229.9328689138,939.980195959414
"Model","ATS age-1 index",2012,177.3461428,24.9815973387627,1258.99292745528,498.423600438773
"Model","ATS age-1 index",2014,4750.826376,669.218003153577,33726.455577313,2012.51317624217
"Model","ATS age-1 index",2016,173.7523144,24.4753581131673,1233.480083101,327.47609467185
"Model","ATS age-1 index",2018,449.9560697,63.3823841663933,3194.27025856847,692.803664662144
"Model","ATS age-1 index",2020,350,49.3022229326261,2484.67498448096,844.041301908056
"Model","ATS age-1 index",2022,141.5599371,19.9406273635221,1004.9440986202,428.14288345632
"Model","Historical CPUE",1965,2816.437428,1712.41424328188,3920.46061271812,3306.42483689773
"Model","Historical CPUE",1966,3473.580475,2111.96194931969,4835.19900068031,3565.03648679021
"Model","Historical CPUE",1967,3802.169891,2311.74668130348,5292.59310069652,4068.00552085318
"Model","Historical CPUE",1968,5257.304601,3196.47906664865,7318.13013535135,4926.23815932626
"Model","Historical CPUE",1969,6712.468418,4081.2291478875,9343.7076881125,5684.4219165849
"Model","Historical CPUE",1970,5679.809828,3453.36528683269,7906.25436916731,5857.76922280938
"Model","Historical CPUE",1971,5257.331283,3196.49528832086,7318.16727767914,5902.2882259911
"Model","Historical CPUE",1972,5726.743484,3481.90128814012,7971.58567985988,5711.93527634468
"Model","Historical CPUE",1973,4787.923949,2911.09224884864,6664.75564915136,4804.42061182961
"Model","Historical CPUE",1974,4740.992588,2882.55764330973,6599.42753269027,4055.13889520375
"Model","Historical CPUE",1975,4271.57446,2597.14804041977,5946.00087958023,4050.47290731659
"Model","Historical CPUE",1976,4318.523058,2625.69312598284,6011.35299001716,3743.25935418204
