Alt,Scenario,Catch_2027,Catch_2028,ABC_2027,ABC_2028,OFL_2027,OFL_2028,SSB_2027,SSB_2028,F_2027,F_2028,B_B35_2027,B_B35_2028
1,Maximum permissible ABC,1863.74,1308.28,1863.74,1308.28,2259.26,1583.17,2476.2,2115.48,0.35,0.31,1.17,1
2,Author-specified ABC,1863.74,1308.28,1863.74,1308.28,2259.26,1583.17,2476.2,2115.48,0.35,0.31,1.17,1
3,Average recent F,1131.82,1014.89,1131.82,1014.89,2259.26,1962.79,2582.32,2446.53,0.2,0.2,1.22,1.16
4,Alternative SPR rate,856.48,803.08,856.48,803.08,2259.26,2103.68,2619.3,2585.22,0.15,0.15,1.24,1.22
5,No fishing,0,0,0,0,2259.26,2455.4,2725.74,3034.71,0,0,1.29,1.44
6,OFL threshold determination,1560.83,1210.15,1560.83,1210.15,1560.83,1210.15,2016.94,1830.82,0.37,0.34,0.95,0.87
7,Status-determination ramp,1509.33,1424.04,1809.05,1424.04,1809.05,1424.04,2210.63,1977.16,0.32,0.36,1.05,0.94
