ParName   Value   Gradient
log_F_devs(2010)    0.0365119 -4.02609e-07
log_F_devs(2011)     0.346283  0.000150776
log_F_devs(2012)     0.358255  0.000113725
log_F_devs(2013)     0.310405 -5.82892e-06
log_F_devs(2014)     0.257032 -0.000143564
log_F_devs(2015)      0.33802 -0.000226487
log_F_devs(2016)    0.0207281 -7.75503e-05
log_F_devs(2017)  -0.00584344  0.000140852
log_F_devs(2018)    -0.222923  0.000131799
log_F_devs(2019)    -0.109985  0.000247493
log_F_devs(2020)     0.123219  0.000305745
log_F_devs(2021)    0.0654463  0.000214127
log_F_devs(2022)      -0.2851  6.39749e-05
log_F_devs(2023)    -0.301308 -0.000345358
log_F_devs(2024)    -0.196698 -0.000430442
sel_devs_fsh(1,1)    0.0525372 -1.49532e-06
sel_devs_fsh(1,2)       0.0925 -2.07205e-05
sel_devs_fsh(1,3)      0.14308 -1.78893e-05
sel_devs_fsh(1,4)   -0.0413933  7.70012e-05
sel_devs_fsh(1,5)   -0.0416275  3.39821e-05
sel_devs_fsh(1,6)   -0.0558871 -0.000302613
sel_devs_fsh(1,7)   -0.0478696  0.000212664
sel_devs_fsh(1,8)   -0.0386499  0.000106165
sel_devs_fsh(1,9)   -0.0277492  0.000108984
sel_devs_fsh(1,10)   -0.0181418 -0.000340769
sel_devs_fsh(1,11)   -0.0108576  0.000365078
sel_devs_fsh(1,12)  -0.00594112 -0.000222008
sel_devs_fsh(2,1)    0.0598544  5.35666e-05
sel_devs_fsh(2,2)    0.0997333 -7.72029e-05
sel_devs_fsh(2,3)     0.242906  8.08535e-07
sel_devs_fsh(2,4)    -0.132229  3.52048e-05
sel_devs_fsh(2,5)   -0.0948696  5.61914e-05
sel_devs_fsh(2,6)   -0.0735037 -0.000322125
sel_devs_fsh(2,7)   -0.0521621  0.000181125
sel_devs_fsh(2,8)   -0.0325214   0.00014568
sel_devs_fsh(2,9)   -0.0194894  0.000170389
sel_devs_fsh(2,10)  -0.00812374 -0.000258349
sel_devs_fsh(2,11)   0.00141032  0.000339153
sel_devs_fsh(2,12)   0.00899556 -0.000324547
sel_devs_fsh(3,1)     0.124669  9.44905e-06
sel_devs_fsh(3,2)    0.0998367 -2.62863e-05
sel_devs_fsh(3,3)   0.00628083  2.98443e-06
sel_devs_fsh(3,4)  -0.00628524   5.0085e-05
sel_devs_fsh(3,5)    -0.047247 -3.18361e-07
sel_devs_fsh(3,6)   -0.0513605 -0.000331704
sel_devs_fsh(3,7)   -0.0483756  0.000245854
sel_devs_fsh(3,8)   -0.0374893  0.000121879
sel_devs_fsh(3,9)   -0.0241138  0.000109834
sel_devs_fsh(3,10)   -0.0118233 -0.000152353
sel_devs_fsh(3,11)  -0.00395872  0.000273264
sel_devs_fsh(3,12) -0.000132228 -0.000294632
sel_devs_fsh(4,1)       0.1318  1.82933e-05
sel_devs_fsh(4,2)    0.0666771 -1.10552e-05
sel_devs_fsh(4,3)      0.15668 -1.86665e-05
sel_devs_fsh(4,4)     -0.10568  6.75497e-05
sel_devs_fsh(4,5)    -0.101904  2.09452e-05
sel_devs_fsh(4,6)   -0.0924673 -0.000319463
sel_devs_fsh(4,7)   -0.0789815  0.000269094
sel_devs_fsh(4,8)    -0.023116  9.70449e-05
sel_devs_fsh(4,9)  -0.00453663 -3.02056e-05
sel_devs_fsh(4,10)    0.0105751 -0.000115884
sel_devs_fsh(4,11)    0.0176693  0.000189456
sel_devs_fsh(4,12)    0.0232831 -0.000168668
sel_devs_fsh(5,1)      0.18781 -1.05279e-05
sel_devs_fsh(5,2)     0.136806 -6.02096e-05
sel_devs_fsh(5,3)   -0.0324753 -4.28694e-06
sel_devs_fsh(5,4)    -0.252395  6.79159e-05
sel_devs_fsh(5,5)    -0.122936  4.09238e-05
sel_devs_fsh(5,6)    -0.107569 -0.000332454
sel_devs_fsh(5,7)   -0.0495307   0.00022954
sel_devs_fsh(5,8)    0.0101304  0.000143071
sel_devs_fsh(5,9)    0.0370753  1.14442e-06
sel_devs_fsh(5,10)    0.0529767 -0.000106056
sel_devs_fsh(5,11)    0.0599773  0.000291437
sel_devs_fsh(5,12)    0.0801292 -0.000276115
sel_devs_fsh(6,1)    0.0103796  3.69981e-05
sel_devs_fsh(6,2)    0.0287669 -4.53592e-05
sel_devs_fsh(6,3)   -0.0801609  -6.8383e-06
sel_devs_fsh(6,4)    -0.049144  0.000104494
sel_devs_fsh(6,5)  -0.00140998  6.01664e-05
sel_devs_fsh(6,6)   -0.0145156 -0.000301802
sel_devs_fsh(6,7)   -0.0491417  0.000209634
sel_devs_fsh(6,8)   0.00650516  6.16985e-05
sel_devs_fsh(6,9)    0.0278153   3.6357e-05
sel_devs_fsh(6,10)    0.0331014 -0.000135679
sel_devs_fsh(6,11)    0.0376587  0.000262233
sel_devs_fsh(6,12)    0.0501456 -0.000272279
sel_devs_fsh(7,1)    -0.232712   4.2473e-05
sel_devs_fsh(7,2)     0.197863 -7.26131e-05
sel_devs_fsh(7,3)     0.116697 -2.17813e-05
sel_devs_fsh(7,4)    0.0803775  4.52011e-05
sel_devs_fsh(7,5)   -0.0210138  4.35105e-05
sel_devs_fsh(7,6)  -0.00761405 -0.000267583
sel_devs_fsh(7,7)   -0.0171982  0.000241316
sel_devs_fsh(7,8)   -0.0308607  0.000103887
sel_devs_fsh(7,9)   -0.0138857 -2.19003e-05
sel_devs_fsh(7,10)   -0.0162232  -7.2365e-05
sel_devs_fsh(7,11)   -0.0226437  0.000277867
sel_devs_fsh(7,12)   -0.0327859 -0.000298762
sel_devs_fsh(8,1)    -0.253211  5.80123e-06
sel_devs_fsh(8,2)      0.10771 -6.25199e-05
sel_devs_fsh(8,3)    0.0696093  3.35911e-05
sel_devs_fsh(8,4)    0.0501745  8.20483e-05
sel_devs_fsh(8,5)    0.0392764  1.33193e-05
sel_devs_fsh(8,6)    0.0488935 -0.000329771
sel_devs_fsh(8,7)    0.0286207  0.000214139
sel_devs_fsh(8,8)   2.8936e-05  0.000166006
sel_devs_fsh(8,9)   -0.0102997  9.55084e-05
sel_devs_fsh(8,10)    -0.017481 -0.000152162
sel_devs_fsh(8,11)   -0.0255689   0.00016807
sel_devs_fsh(8,12)   -0.0377524 -0.000235637
sel_devs_fsh(9,1)    -0.210724 -3.79336e-05
sel_devs_fsh(9,2)     0.145979  6.62744e-06
sel_devs_fsh(9,3)     0.181096 -1.57662e-05
sel_devs_fsh(9,4)     0.037368  6.58007e-05
sel_devs_fsh(9,5)   0.00774155  3.77723e-05
sel_devs_fsh(9,6)  -0.00342106  -0.00031921
sel_devs_fsh(9,7)  -0.00275963  0.000259286
sel_devs_fsh(9,8)   -0.0281019  6.67394e-05
