year,age,original_proportion,tinyvast_proportion,percent_change,direction
1987,13,4.14787e-4,4.14226e-4,-0.13525014043352293,Decrease
1987,14,2.03737e-4,1.99851e-4,-1.9073609604539234,Decrease
1987,15,1.82871e-4,1.79589e-4,-1.7947077448037214,Decrease
1988,1,0.067120786,0.069611444,3.7107104198690295,Increase
1988,2,0.033190151,0.034277786,3.2769811743248667,Increase
1988,3,0.10381032,0.100859017,-2.8429764979050276,Decrease
1988,4,0.203396516,0.198595434,-2.360454394410577,Decrease
1988,5,0.087681414,0.086737767,-1.07622237935169,Decrease
1988,6,0.270639433,0.269522317,-0.41276911779517866,Decrease
1988,7,0.07250877,0.073374189,1.1935370024895005,Increase
1988,8,0.051349785,0.052912488,3.04325130085744,Increase
1988,9,0.028518644,0.029433459,3.2077787429163864,Increase
1988,10,0.068743594,0.071129502,3.4707350331435856,Increase
1988,11,0.006620771,0.006866703,3.714552277974875,Increase
1988,12,0.003895164,0.004034091,3.5666534194709145,Increase
1988,13,8.64362e-4,9.08557e-4,5.113019776436263,Increase
1988,14,0.001044543,0.001084464,3.8218627667793528,Increase
1988,15,6.15748e-4,6.52782e-4,6.014473453425757,Increase
1989,1,0.043407784,0.04576899,5.439591203273599,Increase
1989,2,0.026161766,0.027915434,6.703171337898214,Increase
1989,3,0.046044814,0.047913395,4.058179060078284,Increase
1989,4,0.146516578,0.145134736,-0.9431301350759242,Decrease
1989,5,0.324763684,0.318197829,-2.021733131959425,Decrease
1989,6,0.061217673,0.060623839,-0.9700368715419834,Decrease
1989,7,0.216087827,0.216565433,0.2210240190901598,Increase
1989,8,0.030327554,0.030537814,0.6932969272761011,Increase
1989,9,0.033597428,0.034129414,1.5834128731520705,Increase
1989,10,0.012559035,0.012760296,1.6025196203370815,Increase
1989,11,0.039340794,0.039987087,1.6428061924728798,Increase
1989,12,0.006724553,0.00685138,1.886028707038215,Increase
1989,13,0.00600792,0.006141089,2.216557477463079,Increase
1989,14,0.002811762,0.002864617,1.8797821437233895,Increase
1989,15,0.004430827,0.004608647,4.013246285625676,Increase
1990,1,0.101726988,0.10647623,4.668615569351174,Increase
1990,2,0.012636729,0.012757792,0.9580248179730777,Increase
1990,3,0.005032599,0.005010351,-0.4420777415407007,Decrease
1990,4,0.052121091,0.050803827,-2.527314710277263,Decrease
1990,5,0.117640991,0.116110733,-1.3007863900092498,Decrease
1990,6,0.380658655,0.37790764,-0.7226986602997437,Decrease
1990,7,0.070038479,0.069645756,-0.5607246268154933,Decrease
1990,8,0.166228757,0.165954338,-0.16508515430937018,Decrease
1990,9,0.01572357,0.015732752,0.05839640743164524,Increase
1990,10,0.02705379,0.027433671,1.404169249484078,Increase
1990,11,0.004096176,0.004164612,1.6707289921136164,Increase
1990,12,0.038094025,0.038806077,1.8691960222108448,Increase
1990,13,0.003276288,0.003344816,2.091635411783091,Increase
1990,14,0.002387472,0.002447568,2.517139468023078,Increase
1990,15,0.003284391,0.003403836,3.6367472691284366,Increase
1991,1,0.246031341,0.24630279,0.11033106550437692,Increase
1991,2,0.07070278,0.072835176,3.0160002195104556,Increase
1991,3,0.027211323,0.02818891,3.5925743118039577,Increase
1991,4,0.010626634,0.010201789,-3.9979263424335505,Decrease
1991,5,0.074970143,0.072110449,-3.814443837995627,Decrease
1991,6,0.06411248,0.063195512,-1.4302488376678053,Decrease
1991,7,0.191479622,0.190948142,-0.2775647844134562,Decrease
1991,8,0.066628512,0.066753106,0.1869980227083649,Increase
1991,9,0.128789522,0.129413974,0.4848624253764973,Increase
1991,10,0.032526317,0.032614135,0.2699906048385478,Increase
1991,11,0.043447182,0.043711576,0.6085411937648825,Increase
1991,12,0.008909076,0.008913955,0.05476437736078692,Increase
1991,13,0.026095922,0.026233542,0.5273620912876656,Increase
1991,14,0.003963589,0.003992019,0.7172792133594148,Increase
1991,15,0.004505557,0.004584925,1.7615580049259125,Increase
1992,1,0.143545486,0.151758706,5.721684623367393,Increase
1992,2,0.04031176,0.040068059,-0.604540709708529,Decrease
1992,3,0.269713219,0.261686505,-2.9760180200882145,Decrease
1992,4,0.040141443,0.040575064,1.0802327160984275,Increase
1992,5,0.048385649,0.049234594,1.754538830304822,Increase
1992,6,0.078334574,0.079112179,0.9926715118154604,Increase
1992,7,0.069721647,0.069102979,-0.8873399103724597,Decrease
1992,8,0.097147058,0.095443925,-1.7531493336627813,Decrease
