Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B
11/15/97,21,97.0805553,6.111678379,10/15/98,21,13.6776076,0.861657545,10/15/99,21,20.72362254,1.384624439,9/15/00,21,3.476943,0.250136655,11/15/01,21,10.655478,0.711933217,7/15/02,21,101.145492,6.240111,8/15/02,21,11.13874988,0.68731892,8/15/03,21,1.244870905,0.080884504,9/15/03,21,16.55965923,1.075950778,7/15/05,21,15.854616,1.094647,7/15/07,21,22.4279056,1.2738977,9/15/07,21,0,0,9/15/08,21,42.040622,2.68843,9/15/09,21,0.8998596,0.0536824,9/15/10,21,3.308659,0.200885
11/15/97,22,64.57908446,4.663048641,10/15/98,22,10.41982956,0.750231584,10/15/99,22,28.86294735,2.218528695,9/15/00,22,3.893225,0.321973371,11/15/01,22,7.569085,0.581792014,7/15/02,22,91.559042,6.508305,8/15/02,22,54.22632166,3.86263339,8/15/03,22,6.985108969,0.522678094,9/15/03,22,11.96568925,0.895362361,7/15/05,22,18.977111,1.490911,7/15/07,22,35.254222,2.3095226,9/15/07,22,0.742416,0.070837,9/15/08,22,82.645979,6.064849,9/15/09,22,1.5205723,0.1051389,9/15/10,22,2.631096,0.191776
11/15/97,23,26.06502497,2.159779339,10/15/98,23,10.54238296,0.875045873,10/15/99,23,40.56980874,3.565165321,9/15/00,23,4.58729,0.43341723,11/15/01,23,8.586306,0.754541403,7/15/02,23,129.492593,10.539226,8/15/02,23,105.8407804,8.64953805,8/15/03,23,18.94970156,1.622771369,9/15/03,23,12.17936227,1.042988478,7/15/05,23,26.725445,2.375547,7/15/07,23,30.6328524,2.3012325,9/15/07,23,7.979335,0.44384,9/15/08,23,103.688407,8.742625,9/15/09,23,4.4690788,0.3547408,9/15/10,23,6.000814,0.492113
11/15/97,24,16.43054851,1.545305552,10/15/98,24,22.30294828,2.096535512,10/15/99,24,51.70557258,5.165246754,9/15/00,24,5.539011,0.59451075,11/15/01,24,14.453602,1.44387572,7/15/02,24,102.109313,9.460733,8/15/02,24,242.7764034,22.61493289,8/15/03,24,45.02283108,4.38720054,9/15/03,24,15.59813063,1.519942782,7/15/05,24,35.164371,3.517774,7/15/07,24,39.959883,3.4461036,9/15/07,24,0,0,9/15/08,24,150.921326,14.449105,9/15/09,24,5.7942544,0.5253266,9/15/10,24,10.23833,0.972814
11/15/97,25,34.55299038,3.669896028,10/15/98,25,31.52678855,3.341789936,10/15/99,25,47.69787464,5.388359737,9/15/00,25,3.569743,0.432993121,11/15/01,25,20.747055,2.343764721,7/15/02,25,77.95661,8.179097,8/15/02,25,296.0163293,31.26834378,8/15/03,25,111.9000625,12.34224903,9/15/03,25,30.12789615,3.323018672,7/15/05,25,28.541073,3.197909,7/15/07,25,19.2434643,1.8756881,9/15/07,25,0,0,9/15/08,25,147.109637,15.957759,9/15/09,25,4.7905485,0.4935061,9/15/10,25,19.778869,2.137612
11/15/97,26,71.57351844,8.575265532,10/15/98,26,30.94834543,3.713873196,10/15/99,26,35.31794228,4.490161523,9/15/00,26,10.046092,1.37048476,11/15/01,26,27.920428,3.549675417,7/15/02,26,25.83206,3.054073,8/15/02,26,344.9289749,41.11309751,8/15/03,26,134.1694198,16.66925104,9/15/03,26,85.25553592,10.59217467,7/15/05,26,35.37429,4.419568,7/15/07,26,13.9740275,1.5389095,9/15/07,26,0,0,9/15/08,26,264.409764,32.145896,9/15/09,26,7.2696407,0.8463711,9/15/10,26,27.882722,3.372559
11/15/97,27,106.1715706,14.23411367,10/15/98,27,33.86855771,4.538380909,10/15/99,27,24.24883657,3.454059678,9/15/00,27,7.658936,1.169909516,11/15/01,27,28.454987,4.053193355,7/15/02,27,19.607655,2.600505,8/15/02,27,310.0765337,41.51814524,8/15/03,27,141.6386452,19.73292736,9/15/03,27,202.6688617,28.23558443,7/15/05,27,22.581843,3.133086,7/15/07,27,11.0683203,1.3684054,9/15/07,27,0.040324,0.004719,9/15/08,27,98.208214,13.427437,9/15/09,27,6.881675,0.9005466,9/15/10,27,54.073523,7.420392
11/15/97,28,167.9457373,25.14335029,10/15/98,28,21.77030407,3.265614506,10/15/99,28,15.14520876,2.407081481,9/15/00,28,7.042857,1.199646732,11/15/01,28,24.32661,3.866313985,7/15/02,28,6.262586,0.927816,8/15/02,28,129.3704646,19.37349379,8/15/03,28,109.3411612,17.01105493,9/15/03,28,247.1128504,38.44526824,7/15/05,28,44.269382,6.794799,7/15/07,28,6.4599445,0.8987433,9/15/07,28,7.979335,0.799848,9/15/08,28,109.336797,16.74593,9/15/09,28,4.6836635,0.6861019,9/15/10,28,48.268737,7.464964
11/15/97,29,149.4169951,24.83081987,10/15/98,29,15.60761939,2.590864223,10/15/99,29,12.41661674,2.19343969,9/15/00,29,5.951443,1.126125346,11/15/01,29,16.27354,2.874778959,7/15/02,29,8.236246,1.357899,8/15/02,29,66.0661969,11.02031329,8/15/03,29,63.07345921,10.91565114,9/15/03,29,305.8729315,52.93513716,7/15/05,29,61.784692,10.45385,7/15/07,29,3.682373,0.5762431,9/15/07,29,0.371212,0.080994,9/15/08,29,71.950969,12.157543,9/15/09,29,4.7887263,0.7830904,9/15/10,29,55.43506,9.484102
11/15/97,30,141.4866029,26.04655046,10/15/98,30,18.81014466,3.46115926,10/15/99,30,11.67805333,2.284774277,9/15/00,30,6.391452,1.338677118,11/15/01,30,10.476353,2.049665401,7/15/02,30,6.842802,1.250914,8/15/02,30,26.69280577,4.94245777,8/15/03,30,62.79682123,12.04558241,9/15/03,30,222.0062702,42.58487567,7/15/05,30,80.91611,15.042385,7/15/07,30,3.3148127,0.5774881,9/15/07,30,0,0,9/15/08,30,72.580565,13.514801,9/15/09,30,2.7880333,0.5066117,9/15/10,30,49.036083,9.120458
