"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751,0.111268933160751
"SD",0.111268933160751,0.111268933160751,0.222537866321501,0.333806799482252,0.445075732643002,0.556344665803753,0.667613598964503,0.778882532125254,0.890151465286004,1.00142039844675,1.11268933160751,1.22395826476826,1.33522719792901,1.44649613108976,1.55776506425051,1.66903399741126,1.78030293057201,1.89157186373276,2.00284079689351,2.11410973005426,2.22537866321501,2.33664759637576,2.44791652953651,2.55918546269726
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
