"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851,0.126403233321851
"SD",0.126403233321851,0.126403233321851,0.252806466643701,0.379209699965552,0.505612933287402,0.632016166609253,0.758419399931103,0.884822633252954,1.0112258665748,1.13762909989665,1.26403233321851,1.39043556654036,1.51683879986221,1.64324203318406,1.76964526650591,1.89604849982776,2.02245173314961,2.14885496647146,2.27525819979331,2.40166143311516,2.52806466643701,2.65446789975886,2.78087113308071,2.90727436640256
"Expected_age",0.496661125207979,1.48998337562394,2.4833056260399,3.47662787645586,4.46995012687181,5.46327237728777,6.45659462770373,7.44991687811969,8.44323912853565,9.43656137895161,10.4298836293676,11.4232058797835,12.4165281301995,13.4098503806154,14.4031726310314,15.3964948814474,16.3898171318633,17.3831393822793,18.3764616326952,19.3697838831112,20.3631061335272,21.3564283839431,22.3497506343591,23.343072884775
