"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Model 26.0 base",1983,"Fishing mortality",0.131610401598134,0.131610401598134,0
"Model 26.0 base",1984,"Spawning biomass",3672.65287111075,3672.65287111075,0
"Model 26.0 base",1984,"Total biomass",10380.0018958882,10380.0018958882,0
"Model 26.0 base",1984,"Age-1 recruitment",14221.9210816994,14221.9210816994,0
"Model 26.0 base",1984,"Fishing mortality",0.128668708456792,0.128668708456792,0
"Model 26.0 base",1985,"Spawning biomass",4200.48484101069,4200.48484101069,0
"Model 26.0 base",1985,"Total biomass",12234.4637462911,12234.4637462911,0
"Model 26.0 base",1985,"Age-1 recruitment",32618.1786249284,32618.1786249284,0
"Model 26.0 base",1985,"Fishing mortality",0.130051995142995,0.130051995142995,0
"Model 26.0 base",1986,"Spawning biomass",4091.82607299569,4091.82607299569,0
"Model 26.0 base",1986,"Total biomass",11065.7909060193,11065.7909060193,0
"Model 26.0 base",1986,"Age-1 recruitment",12646.5349603173,12646.5349603173,0
"Model 26.0 base",1986,"Fishing mortality",0.121707717262534,0.121707717262534,0
"Model 26.0 base",1987,"Spawning biomass",4111.67289570754,4111.67289570754,0
"Model 26.0 base",1987,"Total biomass",10670.3298283546,10670.3298283546,0
"Model 26.0 base",1987,"Age-1 recruitment",7215.04123067866,7215.04123067866,0
"Model 26.0 base",1987,"Fishing mortality",0.0909700236778761,0.0909700236778761,0
"Model 26.0 base",1988,"Spawning biomass",3871.73405333278,3871.73405333278,0
"Model 26.0 base",1988,"Total biomass",9607.96423637365,9607.96423637365,0
"Model 26.0 base",1988,"Age-1 recruitment",5596.45361579713,5596.45361579713,0
"Model 26.0 base",1988,"Fishing mortality",0.128334850047685,0.128334850047685,0
"Model 26.0 base",1989,"Spawning biomass",3349.64715467594,3349.64715467594,0
"Model 26.0 base",1989,"Total biomass",8173.98573060106,8173.98573060106,0
"Model 26.0 base",1989,"Age-1 recruitment",11776.1136273517,11776.1136273517,0
"Model 26.0 base",1989,"Fishing mortality",0.135686822167975,0.135686822167975,0
"Model 26.0 base",1990,"Spawning biomass",2839.7756115145,2839.7756115145,0
"Model 26.0 base",1990,"Total biomass",7820.11459556172,7820.11459556172,0
"Model 26.0 base",1990,"Age-1 recruitment",50239.4817233119,50239.4817233119,0
"Model 26.0 base",1990,"Fishing mortality",0.207252815389894,0.207252815389894,0
"Model 26.0 base",1991,"Spawning biomass",2290.05047302166,2290.05047302166,0
"Model 26.0 base",1991,"Total biomass",8914.29766156307,8914.29766156307,0
"Model 26.0 base",1991,"Age-1 recruitment",27208.9033345696,27208.9033345696,0
"Model 26.0 base",1991,"Fishing mortality",0.249554833560426,0.249554833560426,0
"Model 26.0 base",1992,"Spawning biomass",2171.41522840618,2171.41522840618,0
"Model 26.0 base",1992,"Total biomass",9819.51557580279,9819.51557580279,0
"Model 26.0 base",1992,"Age-1 recruitment",23530.4983651714,23530.4983651714,0
"Model 26.0 base",1992,"Fishing mortality",0.33396449744281,0.33396449744281,0
"Model 26.0 base",1993,"Spawning biomass",2842.34302871011,2842.34302871011,0
"Model 26.0 base",1993,"Total biomass",10420.8974712639,10420.8974712639,0
"Model 26.0 base",1993,"Age-1 recruitment",45925.737105197,45925.737105197,0
"Model 26.0 base",1993,"Fishing mortality",0.215755082568009,0.215755082568009,0
"Model 26.0 base",1994,"Spawning biomass",3301.20258303486,3301.20258303486,0
"Model 26.0 base",1994,"Total biomass",10617.7321693179,10617.7321693179,0
"Model 26.0 base",1994,"Age-1 recruitment",15825.9383868913,15825.9383868913,0
"Model 26.0 base",1994,"Fishing mortality",0.16914743317745,0.16914743317745,0
"Model 26.0 base",1995,"Spawning biomass",3528.91685789726,3528.91685789726,0
"Model 26.0 base",1995,"Total biomass",8876.82056020935,8876.82056020935,0
"Model 26.0 base",1995,"Age-1 recruitment",11094.2620374502,11094.2620374502,0
"Model 26.0 base",1995,"Fishing mortality",0.167263725114407,0.167263725114407,0
"Model 26.0 base",1996,"Spawning biomass",3465.53898744885,3465.53898744885,0
"Model 26.0 base",1996,"Total biomass",9267.98562905818,9267.98562905818,0
"Model 26.0 base",1996,"Age-1 recruitment",22577.658010365,22577.658010365,0
"Model 26.0 base",1996,"Fishing mortality",0.195617850248373,0.195617850248373,0
"Model 26.0 base",1997,"Spawning biomass",3369.53286749173,3369.53286749173,0
"Model 26.0 base",1997,"Total biomass",8654.17725017381,8654.17725017381,0
"Model 26.0 base",1997,"Age-1 recruitment",30234.0197975292,30234.0197975292,0
"Model 26.0 base",1997,"Fishing mortality",0.198886480534429,0.198886480534429,0
"Model 26.0 base",1998,"Spawning biomass",2864.03816096318,2864.03816096318,0
"Model 26.0 base",1998,"Total biomass",8809.66289016045,8809.66289016045,0
"Model 26.0 base",1998,"Age-1 recruitment",14874.188337645,14874.188337645,0
"Model 26.0 base",1998,"Fishing mortality",0.168176666785922,0.168176666785922,0
"Model 26.0 base",1999,"Spawning biomass",2984.76099943692,2984.76099943692,0
"Model 26.0 base",1999,"Total biomass",8872.90900676027,8872.90900676027,0
"Model 26.0 base",1999,"Age-1 recruitment",16129.311930025,16129.311930025,0
"Model 26.0 base",1999,"Fishing mortality",0.135576051035732,0.135576051035732,0
"Model 26.0 base",2000,"Spawning biomass",2872.05009426534,2872.05009426534,0
"Model 26.0 base",2000,"Total biomass",9192.93324855298,9192.93324855298,0
"Model 26.0 base",2000,"Age-1 recruitment",24679.909979727,24679.909979727,0
"Model 26.0 base",2000,"Fishing mortality",0.151869528935707,0.151869528935707,0
"Model 26.0 base",2001,"Spawning biomass",2911.08758517124,2911.08758517124,0
"Model 26.0 base",2001,"Total biomass",9053.99415323545,9053.99415323545,0
"Model 26.0 base",2001,"Age-1 recruitment",34466.484729209,34466.484729209,0
"Model 26.0 base",2001,"Fishing mortality",0.175950725817317,0.175950725817317,0
"Model 26.0 base",2002,"Spawning biomass",2706.15981938083,2706.15981938083,0
"Model 26.0 base",2002,"Total biomass",9500.67173584833,9500.67173584833,0
"Model 26.0 base",2002,"Age-1 recruitment",23035.815664057,23035.815664057,0
"Model 26.0 base",2002,"Fishing mortality",0.207705372256696,0.207705372256696,0
"Model 26.0 base",2003,"Spawning biomass",2732.41499367157,2732.41499367157,0
"Model 26.0 base",2003,"Total biomass",10790.714143623,10790.714143623,0
"Model 26.0 base",2003,"Age-1 recruitment",14406.9360851054,14406.9360851054,0
"Model 26.0 base",2003,"Fishing mortality",0.22424226884155,0.22424226884155,0
"Model 26.0 base",2004,"Spawning biomass",3023.51712412367,3023.51712412367,0
"Model 26.0 base",2004,"Total biomass",9973.58679104327,9973.58679104327,0
