"Model","Fleet","Year","Observation","Lower95","Upper95","Predicted"
"Model","ATS biomass index",2012,2295.95185,1683.88101183019,3130.50320092927,2805.86720215464
"Model","ATS biomass index",2014,4729.82772,3456.19883348933,6472.79607993347,3712.241506008
"Model","ATS biomass index",2016,4828.79348,4069.8724836584,5729.23268876735,4471.90290598103
"Model","ATS biomass index",2018,2499.40106,1746.7118754624,3576.43738872238,3413.55259651924
"Model","ATS biomass index",2020,3617,1560.55664420055,8383.34772955453,3395.4373420202
"Model","ATS biomass index",2022,3834.04251,2077.93631110885,7074.26974055946,4209.98882873236
"Model","ATS biomass index",2024,2870.636995,1729.68587065464,4764.19267617872,3287.53212386095
"Model","ATS age-1 index",1994,1140.08514,160.596376384155,8093.54579296136,640.539930353152
"Model","ATS age-1 index",1996,1800.254055,253.590076442783,12780.1320461969,913.809131101855
"Model","ATS age-1 index",1997,13226.7894,1863.17177051913,93897.9221347943,1223.69348766218
"Model","ATS age-1 index",1999,607.203652,85.5328280468821,4310.58207031396,652.829740382929
"Model","ATS age-1 index",2000,460.3664031,64.8488201037926,3268.17395850871,998.911737345858
"Model","ATS age-1 index",2002,796.3968503,112.183243018091,5653.67809045669,932.361473914509
"Model","ATS age-1 index",2004,83.05449742,11.6993467067373,589.609805966037,265.760112744502
"Model","ATS age-1 index",2006,524.7109597,73.9126191723475,3724.96055899883,469.13757678768
"Model","ATS age-1 index",2007,5775.294145,813.5281126808,40999.2254002882,1013.33521789322
"Model","ATS age-1 index",2008,70.86987403,9.98297808181197,503.110294730452,550.076512970747
"Model","ATS age-1 index",2009,5196.786272,732.037472329585,36892.3567135214,2010.93143359479
"Model","ATS age-1 index",2010,2567.932041,361.727879889187,18229.9328689138,940.148590424299
"Model","ATS age-1 index",2012,177.3461428,24.9815973387627,1258.99292745528,498.515897124442
"Model","ATS age-1 index",2014,4750.826376,669.218003153577,33726.455577313,2012.81054574702
"Model","ATS age-1 index",2016,173.7523144,24.4753581131673,1233.480083101,327.800221121692
