Scenario_id,Scenario,Table,Fleet,Deleted_year,Selection_reason,Objective,Convergence_status,Maximum_gradient,Positive_definite_Hessian,Hessian_condition_number,Event_year_SSB_percent_change,Event_year_recruitment_percent_change,Terminal_SSB_percent_change,Terminal_recruitment_percent_change,Maximum_absolute_SSB_percent_change,Maximum_absolute_recruitment_percent_change,Elapsed_seconds
fishery_composition_2020,Fishery composition 2020,comp_data,Fishery,2020,2020--2021 transition,694.4504920689353,OK,3.224207756740428e-5,TRUE,464968.9232625489,-0.7314092793023863,1.8521904915191678,0.2315992659424504,0.7593734693498888,4.376614020315217,14.499308764585894,9.859000000000002
fishery_composition_2023,Fishery composition 2023,comp_data,Fishery,2023,Latest fitted event,710.4333546701246,OK,2.9164192688807544e-5,TRUE,452659.28663025174,-2.2776989232591527,2.6043795352567845,-2.298477837140278,2.048878229081552,2.3412232709793424,11.707268379089442,9.835
bts_biomass_index_2021,BTS biomass index 2021,index_data,BTS,2021,2020--2021 transition,714.3225929258998,OK,5.3401639489988537e-5,TRUE,490324.96402021346,1.9231813202251535,1.3421175477207115,1.257194127522987,-0.8676264416197954,2.4099030138144517,1.3918323027730883,9.494000000000003
bts_biomass_index_2024,BTS biomass index 2024,index_data,BTS,2024,Latest fitted event,711.8434812650843,OK,5.4821101094835664e-5,TRUE,488700.37202018575,-5.284147603096412,-25.311647291234486,-5.284147603096412,-25.311647291234486,5.284147603096412,25.311647291234486,9.696000000000002
bts_age_composition_2021,BTS age composition 2021,comp_data,BTS,2021,2020--2021 transition,709.4366848673627,OK,4.0970017275321347e-5,TRUE,491025.4127302191,2.3248661052237773,-5.543490026287956,0.8514587044193611,0.21441049283308367,2.3248661052237773,7.4806110815368365,9.533999999999999
bts_age_composition_2024,BTS age composition 2024,comp_data,BTS,2024,Latest fitted event,713.013729601406,OK,4.343475454793942e-5,TRUE,490523.9439859241,0.8840450693218038,-1.1817787843268923,0.8840450693218038,-1.1817787843268923,0.8840450693218038,15.771375267825993,9.68
ats_biomass_index_2024,ATS biomass index 2024,index_data,ATS,2024,Latest fitted event,716.137735111883,OK,4.5031709194585934e-5,TRUE,489379.30004747625,1.6581013296971703,1.547304614496392,1.6581013296971703,1.547304614496392,1.6581013296971703,2.4735108676540163,9.128
ats_age_composition_2024,ATS age composition 2024,comp_data,ATS,2024,Latest fitted event,713.6581833309191,OK,6.0231788741371695e-5,TRUE,494083.9690893018,-2.6553961681065386,25.48004241817219,-2.6553961681065386,25.48004241817219,3.753642382237443,54.241012303406656,10.019999999999996
ats_age_1_index_2022,ATS age-1 index 2022,index_data,ATS_1,2022,Latest fitted event,714.2549662046782,OK,4.033086016872316e-5,TRUE,489574.9604513592,0.5290863413978331,8.653634855159575,1.2965309350725152,2.2719985949422927,1.2965309350725152,8.653634855159575,9.034999999999997
avo_index_2021,AVO index 2021,index_data,AVO,2021,2020--2021 transition,715.5318153298082,OK,3.037027836846895e-5,TRUE,489531.28863588,-0.26855800101719396,0.10430574355875244,-0.3539500888234737,0.30720060795963455,0.3539500888234737,0.5555975249101675,8.738
avo_index_2024,AVO index 2024,index_data,AVO,2024,Latest fitted event,715.9080831925376,OK,4.088126527612701e-5,TRUE,489986.0746348079,5.100845464882409,5.92729374253711,5.100845464882409,5.92729374253711,5.100845464882409,9.900887145330262,9.585000000000008
