"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063,0.0944231214525063
"SD",0.0944231214525063,0.0944231214525063,0.188846242905013,0.283269364357519,0.377692485810025,0.472115607262532,0.566538728715038,0.660961850167544,0.75538497162005,0.849808093072557,0.944231214525063,1.03865433597757,1.13307745743008,1.22750057888258,1.32192370033509,1.41634682178759,1.5107699432401,1.60519306469261,1.69961618614511,1.79403930759762,1.88846242905013,1.98288555050263,2.07730867195514,2.17173179340765
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
