"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824,0.0100086039811824
"SD",0.0100086039811824,0.0100086039811824,0.0200172079623648,0.0300258119435473,0.0400344159247297,0.0500430199059121,0.0600516238870945,0.0700602278682769,0.0800688318494594,0.0900774358306418,0.100086039811824,0.110094643793007,0.120103247774189,0.130111851755371,0.140120455736554,0.150129059717736,0.160137663698919,0.170146267680101,0.180154871661284,0.190163475642466,0.200172079623648,0.210180683604831,0.220189287586013,0.230197891567196
"Expected_age",0.499988539666259,1.49996561899878,2.4999426983313,3.49991977766382,4.49989685699633,5.49987393632885,6.49985101566137,7.49982809499389,8.49980517432641,9.49978225365893,10.4997593329914,11.499736412324,12.4997134916565,13.499690570989,14.4996676503215,15.499644729654,16.4996218089866,17.4995988883191,18.4995759676516,19.4995530469841,20.4995301263166,21.4995072056492,22.4994842849817,23.4994613643142
