"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009,0.113199553924009
"SD",0.113199553924009,0.113199553924009,0.226399107848018,0.339598661772027,0.452798215696036,0.565997769620045,0.679197323544054,0.792396877468063,0.905596431392071,1.01879598531608,1.13199553924009,1.2451950931641,1.35839464708811,1.47159420101212,1.58479375493613,1.69799330886013,1.81119286278414,1.92439241670815,2.03759197063216,2.15079152455617,2.26399107848018,2.37719063240419,2.4903901863282,2.60358974025221
"Expected_age",0.519257625499525,1.55777287649857,2.59628812749763,3.63480337849668,4.67331862949572,5.71183388049478,6.75034913149383,7.78886438249288,8.82737963349193,9.86589488449098,10.90441013549,11.9429253864891,12.9814406374881,14.0199558884872,15.0584711394862,16.0969863904853,17.1355016414843,18.1740168924834,19.2125321434824,20.2510473944815,21.2895626454805,22.3280778964796,23.3665931474786,24.4051083984777
